keyword,category,estimated_cpc,search_intent,status,published_date,post_slug
IRP 세액공제 한도 및 ETF 투자 실전 포트폴리오,스마트 부업 & 재테크,2.85,정보/투자 탐색,published,2026-09-04,2026-09-04-irp-etf
2026 ISA 계좌 비과세 혜택 완벽 비교와 고배당 ETF 전략,스마트 부업 & 재테크,2.50,재테크/절세,published,2026-09-04,2026-09-04-2026-isa-etf-0
AWS Solutions Architect Associate(SAA-C03) 단기 합격 로드맵,개발 & 테크,2.20,자격증/클라우드,published,2026-09-04,2026-09-04-aws-solutions-architect-associate
n8n 셀프호스팅으로 구축하는 무료 업무 자동화 파이프라인,AI & 생산성,1.95,생산성/자동화,published,2026-09-04,2026-09-04-n8n
노션 템플릿 검로드(Gumroad) 글로벌 달러 판매 실전 가이드,스마트 부업 & 재테크,2.10,디지털노마드/부업,published,2026-09-04,2026-09-04-gumroad
구글 애드센스 RPM 2배 끌어올리는 고단가 키워드 및 광고 배치 공식,스마트 부업 & 재테크,3.10,수익화/블로그,published,2026-09-04,2026-09-04-rpm-2
쿠버네티스 CKA 자격증 비전공자 한 달 독학 합격 비법,개발 & 테크,2.40,커리어/데브옵스,published,2026-09-05,2026-09-05-cka
미국 주식 배당락일 캘린더 확인법과 양도소득세 절세 팁,스마트 부업 & 재테크,2.60,해외주식/절세,published,2026-09-05,2026-09-05-passive-income-8651
LangChain vs LlamaIndex 차이점과 엔터프라이즈 RAG 아키텍처,AI & 생산성,2.30,AI엔지니어링,published,2026-09-05,2026-09-05-langchain-vs-llamaindex-rag
Stripe 연동으로 1인 개발자 SaaS 해외 글로벌 결제 붙이기,개발 & 테크,2.75,SaaS창업/결제,published,2026-09-05,2026-09-05-stripe-1-saas-checkout
B2B 마케팅 자동화 툴 TOP 5 비교 분석과 도입 비용 절감법,AI & 생산성,3.20,B2B/비즈니스,published,2026-09-05,2026-09-05-b2b-top-5-90
파이썬 셀레니움 헤드리스 크롤러 Cloudflare 탐지 우회 비법,개발 & 테크,1.80,웹크롤링/파이썬,published,2026-09-05,2026-09-05-cloudflare
GitHub Actions 캐시 최적화로 CI/CD 빌드 시간 80% 단축하기,개발 & 테크,1.90,데브옵스/CI,published,2026-09-06,2026-09-06-github-actions-ci-cd
Claude 3.5 Sonnet Artifacts로 10분 만에 실전 프로토타입 만들기,AI & 생산성,1.85,AI개발/노코드,published,2026-09-06,2026-09-06-claude-3-5-sonnet
디지털 노마드를 위한 해외 송금 수수료 최저 비교 가이드,스마트 부업 & 재테크,2.35,핀테크/환전,published,2026-09-06,2026-09-06-passive-income-9269
개인사업자 홈택스 부가가치세 및 종합소득세 절세 증빙 체크리스트,스마트 부업 & 재테크,3.50,세무/절세,published,2026-09-06,2026-09-06-1
Vercel vs Cloudflare Pages vs GitHub Pages 정적 사이트 호스팅 완벽 비교,개발 & 테크,1.75,웹호스팅,published,2026-09-06,2026-09-06-vercel-vs-cloudflare-pages
Supabase 무료 티어로 풀스택 백엔드 1시간 만에 구축하기,개발 & 테크,2.05,백엔드/DB,published,2026-09-06,2026-09-06-supabase-1-db-api
도커 이미지 경량화 및 멀티스테이지 빌드 프로덕션 모범 사례,개발 & 테크,1.80,컨테이너/도커,published,2026-09-07,2026-09-07-90
Make(구 Integromat)를 활용한 인스타그램/스레드 자동 포스팅 파이프라인,AI & 생산성,1.90,SNS자동화,published,2026-09-07,2026-09-07-make-integromat
Docker vs Podman 차이점과 루트리스(Rootless) 컨테이너 실무 가이드,개발 & 테크,2.10,컨테이너/보안,ready,,
